ticket,marital_status,gender,dwelling,adults,children,education,income,occupation,CCAA,response
37ff6967-4844-47de-a9a4-49580bbf3801_b981c2388d27d31f,Casado/a,Mujer,Ático,3 personas,1 niño/a,Grado o diplomatura,Prefiero no responder,Estudiante,Andalucía,52
1fe22907-bcfb-48ef-93e0-d1686e8d6334_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",2001€ - 2500€,Trabajo a tiempo completo,País Vasco,0
271ee878-d02a-4f88-b24b-fd37f8a75e6d_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,2 personas,Ninguna,Educación secundaria,1501€ - 2000€,Estudiante,Canarias,24
5db356ed-4c0b-4b23-8f2f-bd3d8ebc637e_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Jubilado/a o pensionista,Islas Baleares,75
5aaa64f1-dc6e-40a9-9ced-9567c98f1549_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,Ninguna,Formación profesional o técnica,2501€ - 3000€,Desempleado/a,Cataluña,25
99729b17-38ed-4195-95cf-db27236195a1_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,1 niño/a,"Máster, licenciatura o superior",2501€ - 3000€,Trabajo a tiempo parcial,Aragón,20
5ba4a339-6439-4e40-8491-37db0e4bbe2a_b981c2388d27d31f,Viudo/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,Educación primaria,1501€ - 2000€,Jubilado/a o pensionista,Asturias,37
d853fdd7-ac63-4345-b904-13c0eac9c00c_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,2001€ - 2500€,Jubilado/a o pensionista,País Vasco,39
2147bdc1-ee84-43d1-a8b4-3c70f1d7df5d_b981c2388d27d31f,Divorciado/a o separado/a,Mujer,Apartamento o piso,2 personas,Ninguna,Formación profesional o técnica,Prefiero no responder,Desempleado/a,Andalucía,50
g58ihlbje3551kcs_b981c2388d27d31f_5d79d8988f2a16b3_a24c03542cef0b08166697a2e26deb95,Pareja de hecho o relación estable no matrimonial,Mujer,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,2501€ - 3000€,Trabajo a tiempo completo,Extremadura,76
2c91d9b0-9709-4d08-906c-a0d018bdec1f_b981c2388d27d31f,Divorciado/a o separado/a,Mujer,Apartamento o piso,2 personas,Ninguna,Formación profesional o técnica,1001€ - 1500€,Trabajo a tiempo completo,Canarias,32
ee96f5fb-4499-4fea-8eff-4501fd5cfd9a_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Apartamento o piso,2 personas,Ninguna,Educación secundaria,Prefiero no responder,Trabajo a tiempo completo,Aragón,51
