ticket,marital_status,gender,dwelling,adults,children,education,income,occupation,CCAA,response
96c6e0b1-1094-44ff-8761-0a8fe614ff62_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,3 personas,Ninguna,"Máster, licenciatura o superior",Más de 4000€,Trabajo a tiempo completo,Comunidad Valenciana,24
ee17b34b-d081-413d-a96c-cc595215ab64_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,Prefiero no responder,Jubilado/a o pensionista,Andalucía,29
daeaf0a6-6090-4e4e-8d91-dac22276380a_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,Vivo solo/a,Ninguna,"Máster, licenciatura o superior",1501€ - 2000€,Trabajo a tiempo completo,Comunidad Valenciana,61
4a73cfbc-f519-4707-a564-946d3a4e96f5_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,3 personas,Ninguna,Educación secundaria,Prefiero no responder,Desempleado/a,Andalucía,85
df068e84-63d9-42b9-8f8d-725e30b272dc_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,Ninguna,Formación profesional o técnica,Prefiero no responder,Jubilado/a o pensionista,Comunidad Valenciana,75
7840d018-dd42-40d9-b0f1-031e97fa97db_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,2 personas,Ninguna,Formación profesional o técnica,3001€ - 4000€,Trabajo a tiempo completo,Andalucía,26
642cb5b201c20a2b_b981c2388d27d31f_5105648b21273f27_07ebf5d1c8b0c282be57b4303bbde477,Soltero/a,Hombre,Casa unifamiliar adosada,4 personas,1 niño/a,Educación secundaria,1001€ - 1500€,Estudiante,Andalucía,50
0882aaf6-8511-48fb-88e7-f1109e96aa77_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,2 personas,1 niño/a,Formación profesional o técnica,2001€ - 2500€,Trabajo a tiempo completo,Cataluña,25
649e12bd-fa82-40d9-bcd4-855b3e1202e2_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,1501€ - 2000€,Trabajo a tiempo completo,Islas Baleares,34
d72753b5-468f-403c-8def-376d27274deb_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,4 personas,Ninguna,"Máster, licenciatura o superior",Más de 4000€,Trabajo a tiempo completo,Castilla y León,76
174da179-8b33-4082-867c-e830ccbe7ffc_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar adosada,2 personas,2 niños/as,"Máster, licenciatura o superior",1501€ - 2000€,Trabajo a tiempo completo,Andalucía,50
